Date,Open,High,Low,Close,Volume,,,,,,,,,,,,
6/12/2024 20:00,2327.84,2339.61,2320.1,2330.12,17787,,,,,,,,,,,,
6/13/2024 0:00,2330.32,2333.94,2315.88,2324.23,12324,,,,,,,,,,,,
6/13/2024 4:00,2324.25,2324.34,2308.19,2313.2,10466,,,,,,,,,,,,
6/13/2024 8:00,2313.21,2316.28,2308.99,2311.73,12275,,,,,,,,,,,,
6/13/2024 12:00,2311.76,2318.6,2311.29,2315.51,14725,,,,,,,,,,,,
6/13/2024 16:00,2315.52,2326.67,2304.05,2311.25,19095,,,,,,,,,,,,
6/13/2024 20:00,2311.15,2317.1,2295.67,2300.96,18655,,,,,,,,,,,,
6/14/2024 0:00,2301,2304.97,2300.13,2303.98,5867,,,,,,,,,,,,
6/14/2024 4:00,2303.72,2307.2,2301.62,2305.74,8051,,,,,,,,,,,,
6/14/2024 8:00,2305.74,2311.67,2303.59,2310.23,12040,,,,,,,,,,,,
6/14/2024 12:00,2310.2,2323.29,2307.53,2322.74,16805,,,,,,,,,,,,
6/14/2024 16:00,2322.85,2336.59,2320.97,2330.25,20367,,,,,,,,,,,,
6/14/2024 20:00,2330.34,2335.6,2324.1,2333.9,17285,,,,,,,,,,,,
6/15/2024 0:00,2333.85,2335.34,2331,2332.32,6121,,,,,,,,,,,,
7/1/2024 4:00,2323.21,2328.47,2322.17,2327.35,9309,,,,,,,,,,,,
7/1/2024 8:00,2327.35,2327.65,2318.5,2321.84,10150,,,,,,,,,,,,
7/1/2024 12:00,2321.84,2329.49,2321.62,2328.5,15126,,,,,,,,,,,,
7/1/2024 16:00,2328.48,2338.53,2325.51,2329.42,17383,,,,,,,,,,,,
7/1/2024 20:00,2329.3,2334.23,2319.31,2329.19,17498,,,,,,,,,,,,
7/2/2024 0:00,2329.18,2332.44,2327.01,2331.72,5758,,,,,,,,,,,,
7/2/2024 4:00,2331.46,2334.32,2331.12,2334.19,6242,,,,,,,,,,,,
7/2/2024 8:00,2334.19,2334.27,2324.89,2330.46,9224,,,,,,,,,,,,
7/2/2024 12:00,2330.45,2332.45,2323.36,2331.32,11823,,,,,,,,,,,,
